event_code,badge_uid,full_name,email,category,meal_entitled(yes/no),kit_entitled(yes/no),institution,phone,badge_print_template,notes
MEDCONF25,MED0001,Dr Aarav Sharma,aarav.sharma@example.com,delegate,yes,yes,AIIMS New Delhi,9876543201,TPL_A6_V1,
MEDCONF25,MED0002,Dr Ananya Gupta,ananya.gupta@example.com,faculty,yes,yes,Safdarjung Hospital,9876543202,TPL_A6_V1,
MEDCONF25,MED0003,Dr Vihaan Iyer,vihaan.iyer@example.com,delegate,no,yes,Maulana Azad Medical College,9876543203,TPL_A6_V1,
MEDCONF25,MED0004,Dr Advika Nair,advika.nair@example.com,chairperson,yes,yes,LNJP Hospital,9876543204,TPL_A6_V1,
MEDCONF25,MED0005,Dr Arjun Patel,arjun.patel@example.com,exhibitor,no,no,Max Super Specialty Hospital,9876543205,TPL_A6_V1,
MEDCONF25,MED0006,Dr Diya Reddy,diya.reddy@example.com,delegate,yes,no,Fortis Escorts Heart Institute,9876543206,TPL_A6_V1,
MEDCONF25,MED0007,Dr Kabir Mehta,kabir.mehta@example.com,faculty,yes,yes,BLK-Max Super Speciality Hospital,9876543207,TPL_A6_V1,
MEDCONF25,MED0008,Dr Meera Sinha,meera.sinha@example.com,delegate,no,yes,Indraprastha Apollo Hospital,9876543208,TPL_A6_V1,
MEDCONF25,MED0009,Dr Ishaan Bansal,ishaan.bansal@example.com,staff,yes,yes,Conference Operations,9876543209,TPL_A6_V1,
MEDCONF25,MED0010,Dr Sara Khan,sara.khan@example.com,delegate,yes,yes,Sir Ganga Ram Hospital,9876543210,TPL_A6_V1,
MEDCONF25,MED0011,Dr Rohan Desai,rohan.desai@example.com,delegate,yes,no,AIIMS New Delhi,9876543211,TPL_A6_V1,
MEDCONF25,MED0012,Dr Nisha Verma,nisha.verma@example.com,faculty,no,yes,Medanta The Medicity (Gurugram),9876543212,TPL_A6_V1,
MEDCONF25,MED0013,Dr Yash Arora,yash.arora@example.com,delegate,yes,yes,All India Institute of Medical Sciences,9876543213,TPL_A6_V1,
MEDCONF25,MED0014,Dr Priya Menon,priya.menon@example.com,chairperson,yes,yes,Maulana Azad Medical College,9876543214,TPL_A6_V1,
MEDCONF25,MED0015,Dr Aman Kapoor,aman.kapoor@example.com,exhibitor,no,no,Exhibitor Booths Hall A,9876543215,TPL_A6_V1,
MEDCONF25,MED0016,Dr Kavya Joshi,kavya.joshi@example.com,delegate,no,yes,Max Super Specialty Hospital,9876543216,TPL_A6_V1,
MEDCONF25,MED0017,Dr Harsh Vardhan,harsh.vardhan@example.com,faculty,yes,yes,Safdarjung Hospital,9876543217,TPL_A6_V1,
MEDCONF25,MED0018,Dr Rhea Mukherjee,rhea.mukherjee@example.com,delegate,yes,no,Fortis Escorts Heart Institute,9876543218,TPL_A6_V1,
MEDCONF25,MED0019,Dr Nitin Chauhan,nitin.chauhan@example.com,staff,yes,yes,Conference Helpdesk,9876543219,TPL_A6_V1,
MEDCONF25,MED0020,Dr Ishita Rao,ishita.rao@example.com,delegate,no,yes,Indraprastha Apollo Hospital,9876543220,TPL_A6_V1,
MEDCONF25,MED0021,Dr Siddharth Jain,siddharth.jain@example.com,delegate,yes,yes,AIIMS New Delhi,9876543221,TPL_A6_V1,
MEDCONF25,MED0022,Dr Aisha Qureshi,aisha.qureshi@example.com,faculty,yes,yes,Sir Ganga Ram Hospital,9876543222,TPL_A6_V1,
MEDCONF25,MED0023,Dr Parth Bhatt,parth.bhatt@example.com,delegate,yes,no,BLK-Max Super Speciality Hospital,9876543223,TPL_A6_V1,
MEDCONF25,MED0024,Dr Shreya Kulkarni,shreya.kulkarni@example.com,exhibitor,no,no,Exhibitor Booths Hall B,9876543224,TPL_A6_V1,
MEDCONF25,MED0025,Dr Tanishq Roy,tanishq.roy@example.com,chairperson,yes,yes,Maulana Azad Medical College,9876543225,TPL_A6_V1,

